LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,CONSTRUCTION_NO,SAMPLE_NO,THREE_PASSING,TWO_PASSING,ONE_AND_HALF_PASSING,ONE_PASSING,THREE_FOURTHS_PASSING,ONE_HALF_PASSING,THREE_EIGHTHS_PASSING,NO_4_PASSING,NO_10_PASSING,NO_40_PASSING,NO_80_PASSING,NO_200_PASSING,HYDRO_02,HYDRO_002,HYDRO_001,GT_2MM
1,217,223,4,1,1,2,B308,1,BS08,100,100,100,99,97,95,93,88,82,53,34,21.10000038,12.19999981,6.5,5.699999809,18
1,217,261,4,1,1,2,B301,1,BS01,100,100,98,97,96,92,90,83,78,56,40,29.89999962,14,6.800000191,6.199999809,22
1,219,261,4,1,1,2,B301,1,BS01,100,100,98,97,96,92,90,83,78,56,40,29.89999962,14,6.800000191,6.199999809,22
1,220,222,4,1,1,2,B303,1,BS03,100,100,100,98,95,92,89,81,71,45,31,21.70000076,12.69999981,6.5,5.699999809,29
1,221,213,4,1,1,2,B311,1,BS61,100,100,100,98,97,94,92,85,76,50,35,24.79999924,13.69999981,6.900000095,5.300000191,24
1,222,263,4,1,1,2,B313,1,BS13,100,100,100,98,97,95,94,89,82,58,44,33,20.29999924,10.39999962,8.800000191,18
1,223,213,4,1,1,2,B311,1,BS61,100,100,100,98,97,94,92,85,76,50,35,24.79999924,13.69999981,6.900000095,5.300000191,24
1,223,223,4,1,1,2,B308,1,BS08,100,100,100,99,97,95,93,88,82,53,34,21.10000038,12.19999981,6.5,5.699999809,18
1,224,265,4,1,1,2,B315,1,BS15,100,100,99,97,96,95,93,88,77,51,37,25.70000076,15.5,7.699999809,7,23
1,261,213,4,1,1,2,B311,1,BS61,100,100,100,98,97,94,92,85,76,50,35,24.79999924,13.69999981,6.900000095,5.300000191,24
1,262,261,4,1,1,2,B301,1,BS01,100,100,98,97,96,92,90,83,78,56,40,29.89999962,14,6.800000191,6.199999809,22
1,263,222,4,1,1,2,B303,1,BS03,100,100,100,98,95,92,89,81,71,45,31,21.70000076,12.69999981,6.5,5.699999809,29
1,264,220,4,1,1,2,B304,1,BS04,100,100,100,99,97,93,90,83,76,47,31,20.89999962,12.89999962,6.199999809,5.300000191,24
1,266,220,4,1,1,2,B304,1,BS04,100,100,100,99,97,93,90,83,76,47,31,20.89999962,12.89999962,6.199999809,5.300000191,24
